"Date","Open","High","Low","Close","Volume","MarketCap"
2017-06-01,0.16823,0.175339,0.146197,0.171036,4373940,171036000
2017-06-02,0.171186,0.171238,0.15354,0.156576,3121920,156576000
2017-06-03,0.156534,0.185107,0.154692,0.166049,4738010,166049000
2017-06-04,0.16598,0.35243,0.164857,0.285542,27578300,285542000
2017-06-05,0.285023,0.32991,0.269752,0.291661,14297400,291661000
2017-06-06,0.291649,0.306674,0.254038,0.260062,10708800,260062000
2017-06-07,0.259213,0.280704,0.228324,0.23859,11149700,238590000
2017-06-08,0.239285,0.256475,0.213869,0.223217,8890730,223217000
2017-06-09,0.222104,0.239072,0.216599,0.22508,5996870,225080000
2017-06-10,0.224807,0.232437,0.194228,0.197021,8265660,197021000
2017-06-11,0.195443,0.205489,0.17655,0.182229,6837190,182229000
2017-06-12,0.182321,0.212659,0.152264,0.182798,7175260,182798000
2017-06-13,0.18294,0.2013,0.174497,0.194538,5539180,194538000
2017-06-14,0.193745,0.197086,0.162635,0.169383,3766080,169383000
2017-06-15,0.170145,0.218198,0.144954,0.215435,6576040,215435000
2017-06-16,0.212512,0.246001,0.186373,0.232775,12209000,232775000
2017-06-17,0.231731,0.231731,0.206255,0.2084,5614210,208400000
2017-06-18,0.210064,0.212948,0.194808,0.197482,2829350,197482000
2017-06-19,0.197917,0.202943,0.180147,0.181102,5328250,181102000
2017-06-20,0.181185,0.197655,0.179581,0.191778,3728710,191778000
2017-06-21,0.190874,0.196532,0.183393,0.187384,3436530,187384000
2017-06-22,0.187434,0.187434,0.175794,0.17816,2615650,178160000
2017-06-23,0.177803,0.204396,0.173222,0.198476,3165000,198476000
2017-06-24,0.201123,0.203272,0.176831,0.186039,2256800,186039000
2017-06-25,0.184799,0.188892,0.158606,0.170223,2662640,170223000
2017-06-26,0.170003,0.176001,0.139237,0.151785,3398570,151785000
2017-06-27,0.156799,0.160657,0.122676,0.152734,3861500,152734000
2017-06-28,0.153965,0.17557,0.145584,0.173771,2624600,173771000
2017-06-29,0.174455,0.174849,0.152339,0.154906,1880280,154906000
2017-06-30,0.155257,0.157021,0.136025,0.136025,1558240,136025000
2017-07-01,0.137327,0.142716,0.125658,0.130854,1856100,130854000
2017-07-02,0.130978,0.132849,0.11297,0.124109,3171200,124109000
2017-07-03,0.123965,0.13392,0.122968,0.128747,2218720,128747000
2017-07-04,0.130143,0.139744,0.128315,0.131304,1956940,131304000
