"Date","Open","High","Low","Close","Volume","MarketCap"
2017-06-18,13.74,19.98,13.74,19.98,16871,NA
2017-06-19,20.91,23.73,16.99,23.73,51908,NA
2017-06-20,23.73,23.73,14.99,21.41,28295,NA
2017-06-21,21.41,22.76,17.49,20.01,28089,NA
2017-06-22,20.01,20.01,3.97,4.19,2399260,NA
2017-06-23,4.16,4.44,3.9,4.04,8023600,NA
2017-06-24,4.06,4.06,3.33,3.4,4176390,NA
2017-06-25,3.4,3.48,2.55,2.86,4202840,NA
2017-06-26,2.86,3.06,2.15,2.48,8236810,98795292
2017-06-27,2.66,3.05,2.3,3.05,4432880,91141592
2017-06-28,3.06,3.51,2.87,3.48,7524550,104307669
2017-06-29,3.49,3.59,3.16,3.16,3625460,94550441
2017-06-30,3.18,3.27,2.8,2.85,3329010,85211649
2017-07-01,2.87,2.89,2.59,2.7,3321100,80828245
2017-07-02,2.7,2.99,2.59,2.92,2457840,87530110
2017-07-03,2.91,2.95,2.76,2.89,3030160,86569622
2017-07-04,2.89,2.96,2.77,2.85,1823890,85246968
2017-07-05,2.85,2.87,2.67,2.79,2600760,83410697
2017-07-06,2.77,2.85,2.74,2.78,1497570,83090435
2017-07-07,2.77,2.78,2.47,2.49,1849670,74583427
2017-07-08,2.5,2.56,2.39,2.5,1452940,74970136
2017-07-09,2.51,2.56,2.41,2.41,661295,72157514
2017-07-10,2.41,2.42,1.95,2.1,2403320,84127851
2017-07-11,2.1,2.15,1.77,1.94,1557010,58028854
2017-07-12,1.94,2.25,1.83,2.17,831411,65093783
2017-07-13,2.21,2.21,1.91,2.06,23188800,61589154
2017-07-14,2.05,2.07,1.83,1.98,65835700,59148575
2017-07-15,1.97,1.98,1.71,1.71,72605904,51244379
2017-07-16,1.7,1.73,1.36,1.56,1499730,46693660
2017-07-17,1.55,1.87,1.55,1.87,958200,55983065
2017-07-18,1.88,2.51,1.79,2.26,1752420,67624454
2017-07-19,2.26,2.43,1.79,1.81,5602570,54221024
2017-07-20,1.82,2.18,1.82,2.09,2628320,62693012
2017-07-21,2.11,2.18,1.94,1.99,1501240,59625676
2017-07-22,1.99,2.18,1.97,2.15,1247180,64411953
2017-07-23,2.17,2.28,2.04,2.26,2861240,67592727
2017-07-24,2.26,2.29,2.2,2.25,1818030,67389495
2017-07-25,2.25,2.26,1.87,1.94,1741270,57979168
2017-07-26,1.94,2.01,1.82,2,1496860,59793589
2017-07-27,2,2.04,1.9,2.02,1665700,60336240
2017-07-28,2.01,2.03,1.79,1.79,2822560,53696332
2017-07-29,1.8,1.84,1.65,1.83,1713160,54770857
2017-07-30,1.83,1.85,1.73,1.81,1329730,54116265
2017-07-31,1.8,1.91,1.43,1.87,1465680,56022275
2017-08-01,1.87,2.1,1.72,2.02,1499590,60606218
2017-08-02,2.02,2.06,1.95,1.98,1735610,59391017
2017-08-03,1.99,2.06,1.97,2.01,1605640,60241957
2017-08-04,2.01,2.06,1.98,2.01,1483470,60269194
2017-08-05,2.01,2.36,2.01,2.29,1305200,68430198
2017-08-06,2.29,2.42,2.26,2.37,1500290,70810317
2017-08-07,2.36,2.47,2.34,2.45,2195170,73308064
2017-08-08,2.46,2.6,2.44,2.56,2240360,76552293
2017-08-09,2.56,2.68,2.38,2.57,2988450,76853100
2017-08-10,2.57,2.77,2.53,2.65,2526260,79185628
2017-08-11,2.65,2.84,2.61,2.78,4985580,83188010
2017-08-12,2.77,3.09,2.77,2.96,6900550,88728849
2017-08-13,2.98,2.98,2.69,2.82,4273330,84452597
2017-08-14,2.85,2.9,2.73,2.77,4883460,82842007
2017-08-15,2.78,2.79,2.53,2.61,3388150,78013826
2017-08-16,2.6,2.75,2.5,2.75,3129120,82241589
2017-08-17,2.74,2.83,2.64,2.7,2441650,80825551
2017-08-18,2.69,2.83,2.54,2.6,3111720,77850702
2017-08-19,2.6,2.65,2.47,2.58,2970530,77138642
2017-08-20,2.57,2.66,2.51,2.6,2516270,77764800
2017-08-21,2.57,2.95,2.57,2.72,3867280,81466076
2017-08-22,2.72,2.83,2.45,2.67,2669290,79904572
2017-08-23,2.66,2.75,2.62,2.66,2206580,79565752
2017-08-24,2.66,2.74,2.61,2.71,2396130,81010824
2017-08-25,2.69,2.79,2.55,2.64,1993490,79048843
2017-08-26,2.64,2.76,2.56,2.72,2847010,81428063
2017-08-27,2.73,3,2.56,2.99,4833680,89478023
2017-08-28,3,3.04,2.85,2.96,3378000,88485808
2017-08-29,2.94,3.26,2.81,3.18,3987800,95288541
2017-08-30,3.18,3.3,3.09,3.18,3915320,95038916
2017-08-31,3.18,3.23,3.11,3.18,2488720,95108057
2017-09-01,3.16,3.28,3.16,3.23,2272360,96826399
2017-09-02,3.24,3.24,2.73,2.85,1526370,85342448
2017-09-03,2.85,2.97,2.7,2.84,1272440,85150590
2017-09-04,2.85,2.85,2.21,2.38,1831740,71354464
2017-09-05,2.4,2.58,2.23,2.52,1601870,75340384
2017-09-06,2.52,2.77,2.5,2.69,1515920,80425073
2017-09-07,2.68,2.77,2.55,2.7,1503880,80771376
2017-09-08,2.7,2.72,2.33,2.44,1249460,72950089
2017-09-09,2.45,2.45,2.31,2.4,639025,71777090
2017-09-10,2.4,2.4,2.19,2.31,1005960,69123103
2017-09-11,2.32,2.5,2.25,2.38,1080540,71146742
2017-09-12,2.44,2.48,2.22,2.32,1835300,69412835
2017-09-13,2.33,2.41,2,2.12,1345710,63427520
2017-09-14,2.12,2.27,1.66,1.71,1091670,51142314
2017-09-15,1.73,2.19,1.51,1.95,1489820,58238671
2017-09-16,1.92,2.2,1.79,1.98,1130950,59407479
