N;Name;Symbol;Market Cap;Price;Circulating Supply;Volume (24h);1h;24h;7d
1;Bitcoin;BTC;$154 424 589 087;$8 706,23;17 737 250;$20 911 852 023;0,32%;1,63%;3,76%
2;Ethereum;ETH;$28 595 883 288;$268,94;106 327 617;$9 029 485 509;0,54%;0,99%;3,49%
3;XRP;XRP;$18 564 318 598;$0,440101;42 181 995 112 *;$1 611 736 119;0,44%;2,21%;10,68%
4;Bitcoin Cash;BCH;$7 859 798 858;$441,16;17 816 350;$1 723 223 343;0,30%;0,73%;5,13%
5;Litecoin;LTC;$7 072 733 092;$113,98;62 050 226;$3 440 853 410;0,26%;0,94%;7,08%
6;EOS;EOS;$7 029 546 429;$7,66;917 489 308 *;$4 714 242 829;1,01%;-6,02%;15,23%
7;Binance Coin;BNB;$4 692 716 603;$33,24;141 175 490 *;$486 728 056;0,12%;1,07%;-2,57%
8;Bitcoin SV;BSV;$3 377 057 928;$189,57;17 814 198;$395 192 125;0,35%;0,07%;78,86%
9;Tether;USDT;$3 145 490 934;$1,00;3 131 993 375 *;$20 565 992 421;0,03%;0,23%;-0,24%
10;Stellar;XLM;$2 628 511 451;$0,136000;19 327 248 744 *;$433 945 839;0,03%;2,54%;4,78%
11;TRON;TRX;$2 545 868 751;$0,038179;66 682 072 191;$1 411 144 376;1,22%;-0,63%;23,84%
12;Cardano;ADA;$2 443 587 088;$0,094248;25 927 070 538;$199 537 380;0,58%;4,59%;12,69%
13;Monero;XMR;$1 618 948 683;$95,13;17 018 497;$99 188 636;0,46%;2,52%;5,77%
14;Dash;DASH;$1 455 601 287;$164,57;8 844 736;$444 070 944;0,19%;0,00%;3,38%
15;IOTA;MIOTA;$1 362 815 670;$0,490304;2 779 530 283 *;$36 910 804;-0,17%;1,62%;23,38%
16;Cosmos;ATOM;$1 158 104 541;$6,07;190 688 439 *;$80 832 646;-1,80%;4,48%;36,66%
17;Ethereum Classic;ETC;$1 043 498 045;$9,41;110 920 378;$990 461 369;0,62%;8,94%;26,18%
18;Tezos;XTZ;$998 190 820;$1,51;659 732 552 *;$4 977 339;-0,43%;1,77%;-5,94%
19;NEO;NEO;$909 850 060;$14,00;65 000 000 *;$496 991 330;0,47%;-0,25%;19,61%
20;NEM;XEM;$848 124 582;$0,094236;8 999 999 999 *;$36 579 286;0,23%;-0,05%;11,08%
21;Ontology;ONT;$735 391 357;$1,49;494 757 215 *;$223 593 283;-0,22%;-0,20%;7,57%
22;Maker;MKR;$730 361 168;$730,36;1 000 000 *;$4 541 624;0,43%;1,09%;0,56%
23;Zcash;ZEC;$587 305 239;$88,07;6 668 619;$371 928 648;0,74%;1,19%;18,91%
24;Bitcoin Gold;BTG;$515 216 306;$29,42;17 513 924;$34 947 703;1,33%;1,33%;23,07%
25;Crypto.com Chain;CRO;$514 930 764;$0,077478;6 646 118 721 *;$17 637 865;-0,47%;5,39%;11,94%
26;Basic Attention Token;BAT;$455 864 448;$0,359546;1 267 888 630 *;$46 018 987;-0,35%;0,79%;2,08%
27;VeChain;VET;$431 194 670;$0,007776;55 454 734 800 *;$16 437 247;0,94%;4,05%;5,16%
28;Dogecoin;DOGE;$406 711 138;$0,003396;119 767 512 840;$77 422 950;0,29%;-0,90%;11,25%
29;Chainlink;LINK;$356 506 082;$1,02;350 000 000 *;$24 954 815;0,78%;4,16%;-6,12%
30;Qtum;QTUM;$343 503 942;$3,59;95 765 672 *;$238 904 925;0,59%;-1,11%;19,57%
31;BitTorrent;BTT;$340 927 623;$0,001607;212 116 500 000 *;$121 588 943;0,30%;-6,10%;16,69%
32;USD Coin;USDC;$333 945 647;$1,00;333 720 521 *;$81 387 724;0,23%;-0,10%;0,16%
33;OmiseGO;OMG;$328 929 937;$2,35;140 245 398 *;$119 112 715;0,45%;2,43%;14,01%
34;Holo;HOT;$307 299 002;$0,002307;133 214 575 156 *;$28 693 094;0,60%;0,39%;14,75%
35;Decred;DCR;$286 057 348;$28,97;9 873 758;$1 486 606;0,22%;1,99%;2,56%
36;Waves;WAVES;$262 380 318;$2,62;100 000 000 *;$41 015 260;0,20%;-0,27%;-2,73%
37;Bitcoin Diamond;BCD;$251 854 122;$1,35;186 492 898;$6 231 952;0,39%;-1,10%;27,60%
38;Ravencoin;RVN;$250 684 695;$0,068227;3 674 275 000;$101 686 018;0,02%;0,93%;22,61%
39;Lisk;LSK;$247 086 461;$2,10;117 415 652 *;$5 970 064;0,29%;2,17%;4,38%
40;TrueUSD;TUSD;$243 883 368;$1,00;242 954 014 *;$158 893 166;0,16%;0,01%;0,39%
41;Nano;NANO;$235 077 944;$1,76;133 248 289 *;$14 206 020;0,67%;4,17%;2,88%
42;Pundi X;NPXS;$221 837 056;$0,001043;212 624 343 654 *;$32 123 761;1,95%;5,15%;27,22%
43;Augur;REP;$215 499 676;$19,59;11 000 000 *;$22 278 014;0,33%;0,21%;-1,41%
44;ICON;ICX;$209 388 184;$0,442301;473 406 688 *;$36 498 937;1,04%;12,57%;16,42%
45;0x;ZRX;$202 830 516;$0,339421;597 577 999 *;$25 192 511;0,26%;0,16%;4,55%
46;MonaCoin;MONA;$194 652 823;$2,96;65 729 675;$178 496 510;2,05%;-4,44%;181,21%
