"Date","Open","High","Low","Close","Volume","MarketCap"
2017-10-27,0.408919,0.571872,0.403292,0.497052,71509,NA
2017-10-28,0.497721,0.582964,0.397951,0.477654,68469,NA
2017-10-29,0.477424,0.491858,0.431237,0.455864,27956,NA
2017-10-30,0.453817,0.578122,0.42357,0.565623,21873,NA
2017-10-31,0.534153,0.764108,0.5135,0.685691,110856,NA
2017-11-01,0.665505,1.22,0.661789,1.08,241493,NA
2017-11-02,1.08,1.24,0.879071,1.17,276079,NA
2017-11-03,1.18,1.35,0.990123,1.35,51631,NA
2017-11-04,1.35,1.41,1.15,1.4,55451,NA
2017-11-05,1.24,1.61,1.23,1.58,88534,NA
2017-11-06,1.59,2.07,1.39,1.73,348604,NA
2017-11-07,1.73,2.01,0.763202,1.41,476528,NA
2017-11-08,1.41,1.41,0.971682,1.32,126020,NA
2017-11-09,1.31,1.56,1.16,1.22,88687,NA
2017-11-10,1.23,1.36,0.854839,0.916497,172543,NA
2017-11-11,0.913627,1.05,0.731008,1.05,87265,NA
2017-11-12,1.05,1.1,0.800991,1.04,63451,NA
2017-11-13,1.04,1.12,0.922808,0.957364,26404,NA
2017-11-14,0.958108,1.1,0.9053,1.06,35891,NA
2017-11-15,1.06,1.09,0.976417,1,36238,NA
2017-11-16,1,1.12,0.985271,1.04,32680,NA
2017-11-17,1.03,1.11,0.891679,0.975336,31045,NA
2017-11-18,0.973898,1.13,0.87775,0.978447,42698,NA
2017-11-19,0.969894,1.12,0.907682,1,17206,NA
2017-11-20,1,1.13,0.919725,0.964074,37446,NA
2017-11-21,0.963688,1.06,0.878585,1.05,53901,NA
2017-11-22,1.06,1.09,0.946389,1.09,29666,NA
2017-11-23,1.09,1.14,0.936029,1.01,39387,NA
2017-11-24,1.01,1.11,0.973021,1.1,63073,NA
2017-11-25,1.1,1.2,1.09,1.19,12393,NA
2017-11-26,1.13,1.18,0.959147,1,52840,NA
2017-11-27,1,1.66,1,1.45,126392,NA
2017-11-28,1.4,1.63,1.4,1.62,117213,NA
2017-11-29,1.63,1.74,1.09,1.1,90903,NA
2017-11-30,1.12,1.63,1.11,1.35,23448,NA
2017-12-01,1.35,1.65,1.26,1.46,97184,NA
2017-12-02,1.46,1.64,1.46,1.62,25697,NA
2017-12-03,1.62,1.65,1.43,1.55,37541,NA
2017-12-04,1.55,1.59,1.15,1.16,95590,NA
2017-12-05,1.16,1.68,1.16,1.58,62904,NA
2017-12-06,1.58,1.81,1.57,1.75,216482,NA
2017-12-07,1.75,2.07,1.64,1.9,199030,NA
2017-12-08,1.78,1.84,1.51,1.78,87178,NA
2017-12-09,1.78,1.91,1.59,1.88,68996,NA
2017-12-10,1.88,1.93,1.61,1.76,83091,NA
2017-12-11,1.75,2.05,1.69,1.98,76913,NA
2017-12-12,1.97,2.35,1.9,2.11,162836,NA
2017-12-13,2.11,2.31,1.86,2.03,60800,NA
2017-12-14,2.02,2.13,1.92,2.02,35517,NA
2017-12-15,2.03,2.7,1.9,2.4,130752,NA
2017-12-16,2.4,3.26,2.37,2.6,209230,NA
2017-12-17,2.6,3.24,2.25,2.83,219214,NA
2017-12-18,2.83,3.54,1.55,2.16,206304992,NA
2017-12-19,2.14,2.44,2.04,2.14,52223100,NA
2017-12-20,2.14,2.21,1.88,2.16,46317300,NA
2017-12-21,2.16,2.99,2.14,2.91,86107904,NA
2017-12-22,2.94,3.13,1.97,2.73,55008500,NA
2017-12-23,2.75,4.39,2.75,4.06,96608400,NA
2017-12-24,4.12,4.34,3.25,4.34,51895300,NA
2017-12-25,4.4,7.1,4.4,6.91,200710000,1976421483
2017-12-26,6.99,7.34,4.97,6.18,217604992,1766587955
2017-12-27,6.28,6.28,4.83,5.19,124386000,1483225928
2017-12-28,5.13,6.04,4.44,5.79,143200992,1989942656
2017-12-29,5.84,6.04,5.2,5.51,72316600,2077451481
2017-12-30,5.53,5.53,4.77,5.2,65365800,1961218428
2017-12-31,5.18,5.51,5.02,5.35,62230900,2017629580
